Week,Day,Exercise,Sets,Target Reps
9,2,Bulgarian Split Squat,3,6–8/side
9,2,Standing Calf Raise,3,10–15
9,2,Farmer Carry,3,20–40m
9,2,Forearm,2,10–15
9,3,Chin-ups / Ring Chins (w/ rotation),4,6–10
9,3,DB Overhead Press,3,6–8
9,3,Seated Row,3,8–10
9,3,Hammer Curl,3,8–12
9,3,Face Pull,2,12–15
9,4,DB Romanian Deadlift,4,6–8
9,4,Incline DB Press (30-45°),3,8–10
9,4,1-arm overheard tricep extension,3,8–12
9,4,Seated Calf Raise,3,12–20
9,4,Side Plank,2,20–30 sec/side
10,1,Incline DB Press (15-30°),4,5–8
10,1,Ring Push-ups / Dips,4,6–8
10,1,Ring Fallout,3,8–12
10,1,Band ER / Face Pull,2,10–15
10,2,Leg Press,4,6–8
10,2,Bulgarian Split Squat,3,6–8/side
10,2,Standing Calf Raise,3,10–15
10,2,Farmer Carry,3,20–40m
10,2,Forearm,2,10–15
10,3,Chin-ups / Ring Chins (w/ rotation),4,6–10
10,3,DB Overhead Press,3,6–8
10,3,Seated Row,3,8–10
10,3,Hammer Curl,3,8–12
10,3,Face Pull,2,12–15
10,4,DB Romanian Deadlift,4,6–8
10,4,Incline DB Press (30-45°),3,8–10
10,4,1-arm overheard tricep extension,3,8–12
10,4,Seated Calf Raise,3,12–20
10,4,Side Plank,2,20–30 sec/side
11,1,Incline DB Press (15-30°),4,5–8
11,1,Ring Push-ups / Dips,4,6–8
11,1,Ring Fallout,3,8–12
11,1,Band ER / Face Pull,2,10–15
11,2,Leg Press,4,6–8
11,2,Bulgarian Split Squat,3,6–8/side
11,2,Standing Calf Raise,3,10–15
11,2,Farmer Carry,3,20–40m
11,2,Forearm,2,10–15
11,3,Chin-ups / Ring Chins (w/ rotation),4,6–10
11,3,DB Overhead Press,3,6–8
11,3,Seated Row,3,8–10
11,3,Hammer Curl,3,8–12
11,3,Face Pull,2,12–15
11,4,DB Romanian Deadlift,4,6–8
11,4,Incline DB Press (30-45°),3,8–10
11,4,1-arm overheard tricep extension,3,8–12
11,4,Seated Calf Raise,3,12–20
11,4,Side Plank,2,20–30 sec/side
12,1,Incline DB Press (15-30°),4,5–8
12,1,Ring Push-ups / Dips,4,6–8
12,1,Ring Fallout,3,8–12
12,1,Band ER / Face Pull,2,10–15
12,2,Leg Press,4,6–8
12,2,Bulgarian Split Squat,3,6–8/side
12,2,Standing Calf Raise,3,10–15
12,2,Farmer Carry,3,20–40m
12,2,Forearm,2,10–15
12,3,Chin-ups / Ring Chins (w/ rotation),4,6–10
12,3,DB Overhead Press,3,6–8
12,3,Seated Row,3,8–10
12,3,Hammer Curl,3,8–12
12,3,Face Pull,2,12–15
12,4,DB Romanian Deadlift,4,6–8
12,4,Incline DB Press (30-45°),3,8–10
12,4,1-arm overheard tricep extension,3,8–12
12,4,Seated Calf Raise,3,12–20
12,4,Side Plank,2,20–30 sec/side
